n,pos,pos_rate,tp,fp,fn,tn,precision,recall,f1,ap,brier,pred_pos,pred_rate,slice_var,slice_value,delta_f1_global,fp_rate_among_neg,fn_rate_among_pos
5455,1863,0.3415215398716774,1781,2178,82,1414,0.4498610760293003,0.955984970477724,0.6118172449330127,0.7058635980829108,0.1616211407801509,3959,0.725756186984418,priority,CRITICAL,0.0369777070639497,0.606347438752784,0.0440150295222759
2548,739,0.2900313971742543,437,700,302,1109,0.3843447669305189,0.591339648173207,0.4658848614072494,0.5700398523020938,0.19037941761482,1137,0.4462323390894819,priority,MAJOR,-0.1089546764618135,0.3869541182974019,0.4086603518267929
109,28,0.2568807339449541,21,43,7,38,0.328125,0.75,0.4565217391304347,0.5949942416824736,0.1862065130520551,64,0.5871559633027523,priority,MINOR,-0.1183177987386281,0.5308641975308642,0.25
7390,2270,0.3071718538565629,1879,2674,391,2446,0.4126949264221392,0.8277533039647577,0.5507841125604572,0.5873089205412814,0.1763912875241835,4553,0.6161028416779432,type_of_incident,FIBRA,-0.0240554253086057,0.522265625,0.1722466960352422
722,360,0.4986149584487535,360,247,0,115,0.5930807248764415,1.0,0.7445708376421923,0.9665204143007892,0.1156440085280371,607,0.8407202216066482,type_of_incident,MICROWAVE,0.1697312997731294,0.6823204419889503,0.0
482,197,0.4087136929460581,192,193,5,92,0.4987012987012987,0.9746192893401016,0.6597938144329897,0.7089696534543088,0.1902492372264204,385,0.7987551867219918,trouble_type,ATTENUATION,0.0849542765639267,0.6771929824561403,0.0253807106598984
449,213,0.4743875278396436,212,142,1,94,0.5988700564971752,0.9953051643192488,0.7477954144620811,0.92347048403863,0.1230195897716011,354,0.7884187082405345,trouble_type,BAD PERFORMANCE,0.1729558765930181,0.6016949152542372,0.0046948356807511
7181,2220,0.3091491435733184,1835,2586,385,2375,0.4150644650531554,0.8265765765765766,0.552627616322843,0.6159095785752119,0.1726905251093685,4421,0.6156524160980364,trouble_type,LINK DOWN,-0.0222119215462199,0.521265873815763,0.1734234234234234
128,35,0.2734375,35,71,0,22,0.330188679245283,1.0,0.4964539007092198,0.3808776499102519,0.2305663566789447,106,0.828125,incident_type,ATTENUATION NEAR TO THRESHOLD,-0.078385637159843,0.7634408602150538,0.0
319,81,0.2539184952978056,80,162,1,76,0.3305785123966942,0.9876543209876544,0.4953560371517028,0.4915112966037567,0.1944881573606403,242,0.7586206896551724,incident_type,ATTENUATION OVER THRESHOLD,-0.0794835007173601,0.680672268907563,0.0123456790123456
4640,1313,0.2829741379310345,923,2053,390,1274,0.3101478494623655,0.7029702970297029,0.4304033574259734,0.3219378618543129,0.2170227761152131,2976,0.6413793103448275,incident_type,CABLE BROKEN ACCESS,-0.1444361804430895,0.6170724376314999,0.297029702970297
2049,788,0.3845778428501708,788,263,0,998,0.7497621313035204,1.0,0.8569874932028276,0.9611645834271584,0.0774604506962354,1051,0.5129331381161543,incident_type,CABLE BROKEN BACKBONE,0.2821479553337647,0.2085646312450436,0.0
976,413,0.423155737704918,413,372,0,191,0.5261146496815287,1.0,0.6894824707846411,0.9302862810928816,0.1329612996483961,785,0.8043032786885246,incident_type,IN SITE,0.1146429329155781,0.6607460035523979,0.0
229,59,0.2576419213973799,48,131,11,39,0.2681564245810056,0.8135593220338984,0.4033613445378151,0.2948559931704911,0.2381742422534853,179,0.7816593886462883,network_type,AGG-AGG,-0.1714781933312478,0.7705882352941177,0.1864406779661017
1010,276,0.2732673267326733,210,504,66,230,0.2941176470588235,0.7608695652173914,0.4242424242424242,0.3019501101816806,0.2238791722539658,714,0.7069306930693069,network_type,AGG-SRT,-0.1505971136266387,0.6866485013623979,0.2391304347826087
166,66,0.3975903614457831,61,72,5,28,0.4586466165413533,0.9242424242424242,0.6130653266331658,0.5941379416500886,0.2242662339738239,133,0.8012048192771084,network_type,CA-CP-AGG,0.0382257887641028,0.72,0.0757575757575757
2419,835,0.3451839603141794,835,420,0,1164,0.6653386454183267,1.0,0.7990430622009569,0.884615324420601,0.0863383347191623,1255,0.5188094253823894,network_type,DWDM,0.2242035243318939,0.2651515151515151,0.0
3544,1025,0.2892212189616253,716,1538,309,981,0.3176574977817213,0.6985365853658536,0.4367185117413845,0.3276873775792323,0.2181314270748269,2254,0.6360045146726863,network_type,SRT-SRT,-0.1381210261276784,0.610559745930925,0.3014634146341463
744,369,0.4959677419354839,369,256,0,119,0.5904,1.0,0.7424547283702213,0.9631671516375652,0.1172423648251482,625,0.8400537634408602,network_type,VIBA,0.1676151905011583,0.6826666666666666,0.0
236,62,0.2627118644067797,58,90,4,84,0.3918918918918919,0.935483870967742,0.5523809523809524,0.7274197998143204,0.1278022352703087,148,0.6271186440677966,branch_id,BRANCH_001,-0.0224585854881105,0.5172413793103449,0.064516129032258
212,52,0.2452830188679245,46,84,6,76,0.3538461538461538,0.8846153846153846,0.5054945054945055,0.6312880661151209,0.1465001827068553,130,0.6132075471698113,branch_id,BRANCH_002,-0.0693450323745574,0.525,0.1153846153846153
152,55,0.3618421052631579,51,35,4,62,0.5930232558139535,0.9272727272727272,0.723404255319149,0.8479987973484342,0.1169997392503259,86,0.5657894736842105,branch_id,BRANCH_003,0.148564717450086,0.3608247422680412,0.0727272727272727
275,101,0.3672727272727272,90,79,11,95,0.5325443786982249,0.8910891089108911,0.6666666666666666,0.8009833944906402,0.1475164824927414,169,0.6145454545454545,branch_id,BRANCH_004,0.0918271287976036,0.4540229885057471,0.1089108910891089
243,72,0.2962962962962963,61,98,11,73,0.3836477987421384,0.8472222222222222,0.5281385281385281,0.736725181852153,0.1525530095152178,159,0.654320987654321,branch_id,BRANCH_005,-0.0467010097305348,0.5730994152046783,0.1527777777777778
268,81,0.3022388059701492,76,91,5,96,0.4550898203592814,0.9382716049382716,0.6129032258064516,0.7820859255521644,0.1341661893796302,167,0.6231343283582089,branch_id,BRANCH_011,0.0380636879373886,0.4866310160427807,0.0617283950617283
250,52,0.208,44,98,8,100,0.3098591549295774,0.8461538461538461,0.4536082474226804,0.72689531245043,0.1192875948339502,142,0.568,branch_id,BRANCH_013,-0.1212312904463825,0.494949494949495,0.1538461538461538
232,85,0.3663793103448275,74,87,11,60,0.4596273291925465,0.8705882352941177,0.6016260162601627,0.7522342663368415,0.1710752946479485,161,0.6939655172413793,branch_id,BRANCH_017,0.0267864783910997,0.5918367346938775,0.1294117647058823
123,43,0.3495934959349593,38,47,5,33,0.4470588235294118,0.8837209302325582,0.59375,0.7221487581731177,0.1688553313082936,85,0.6910569105691057,branch_id,BRANCH_018,0.018910462130937,0.5875,0.1162790697674418
405,140,0.345679012345679,110,143,30,122,0.4347826086956521,0.7857142857142857,0.5597964376590331,0.6132647506402334,0.1901794286217292,253,0.6246913580246913,branch_id,BRANCH_019,-0.0150431002100298,0.539622641509434,0.2142857142857142
238,56,0.2352941176470588,46,94,10,88,0.3285714285714285,0.8214285714285714,0.4693877551020408,0.5662387105173003,0.1559024828631818,140,0.5882352941176471,branch_id,BRANCH_020,-0.1054517827670221,0.5164835164835165,0.1785714285714285
