slice_label,slice_var,slice_value,n,positives,positive_rate,pred_pos,tp,fp,fn,tn,precision,recall,f1,ap,brier,fp_rate_neg,fn_rate_pos,pred_rate,precision_ci_low,precision_ci_high,recall_ci_low,recall_ci_high,f1_ci_low,f1_ci_high,delta_f1_global,delta_precision_global,delta_recall_global,delta_ap_global,delta_brier_global
Global validación temporal OOF,GLOBAL,OOF TimeSeriesSplit n_splits=3,8112,2630,0.3242110453648915,5160,2239,2921,391,2561,0.4339147286821705,0.8513307984790874,0.5748395378690629,0.6597358455229672,0.1709845400592898,0.5328347318496899,0.1486692015209125,0.636094674556213,0.4201926819774231,0.4477591431618723,0.8385322331562237,0.8640573326104635,0.5616837375734187,0.5879030048386878,0.0,0.0,0.0,0.0,0.0
Tipo de incidente,incident_type,CABLE BROKEN ACCESS,4640,1313,0.2829741379310345,2976,923,2053,390,1274,0.3101478494623655,0.7029702970297029,0.4304033574259734,0.3219378618543129,0.2170227761152131,0.6170724376314999,0.297029702970297,0.6413793103448275,0.2923740442410904,0.3276367057747774,0.6786830926477272,0.7267100834775047,0.4104107798579672,0.4495840798852106,-0.1444361804430895,-0.123766879219805,-0.1483605014493845,-0.3377979836686542,0.0460382360559233
Tipo de red,network_type,AGG-SRT,1010,276,0.2732673267326733,714,210,504,66,230,0.2941176470588235,0.7608695652173914,0.4242424242424242,0.3019501101816806,0.2238791722539658,0.6866485013623979,0.2391304347826087,0.7069306930693069,0.2593514809148793,0.3268270695784662,0.7107969266505852,0.8080107279693487,0.3830665315771698,0.4621513944223108,-0.1505971136266387,-0.139797081623347,-0.090461233261696,-0.3577857353412865,0.052894632194676
Branch operativo,branch_id,BRANCH_034,258,58,0.2248062015503876,188,49,139,9,61,0.2606382978723404,0.8448275862068966,0.3983739837398374,0.31149185173119,0.1928282820594395,0.695,0.1551724137931034,0.7286821705426356,0.1922872340425532,0.324468085106383,0.7450876095118899,0.9361786558595068,0.308320367419627,0.4784313725490196,-0.1764655541292255,-0.1732764308098301,-0.0065032122721908,-0.3482439937917772,0.0218437420001497
Reason group,reason_group,MISSING,269,67,0.2490706319702602,143,45,98,22,104,0.3146853146853147,0.6716417910447762,0.4285714285714285,0.5064871408475282,0.170016108497172,0.4851485148514851,0.3283582089552239,0.5315985130111525,0.2391199158485273,0.3928633004926108,0.5499754901960785,0.7797007415254237,0.34223906237012,0.5067904581187312,-0.1462681092976344,-0.1192294139968558,-0.1796890074343112,-0.1532487046754389,-0.0009684315621178
Mes calendario,month,6,349,175,0.501432664756447,117,83,34,92,140,0.7094017094017094,0.4742857142857143,0.5684931506849316,0.7762121245330357,0.2475529248620674,0.1954022988505747,0.5257142857142857,0.335243553008596,0.6298875140607424,0.7917025862068965,0.4,0.5423773891092679,0.496597466572836,0.6319401050322409,-0.0063463871841313,0.2754869807195388,-0.3770450841933731,0.1164762790100685,0.0765683848027775
