exp_id,fold,split,n_rows,f1,precision,recall,balanced_accuracy,average_precision,brier,positive_rate_pred,positive_rate_true
S8_01_hpo_best_all_features,1,train,2707,0.6537396121883656,0.5484120836560805,0.8091428571428572,0.7454557080474111,0.8208139524234215,0.12783825599782475,0.476911710380495,0.3232360546730698
S8_01_hpo_best_all_features,1,val,2704,0.5323741007194245,0.3842159916926272,0.8665105386416861,0.6127147287803025,0.682860996829737,0.1960306140974348,0.7122781065088757,0.3158284023668639
S8_01_hpo_best_all_features,2,train,5411,0.6044546850998463,0.4524288588674907,0.9103528050896472,0.6964854737018036,0.7787498593020039,0.14524641189463205,0.6429495472186287,0.31953428201811124
S8_01_hpo_best_all_features,2,val,2704,0.6276648487853247,0.567713004484305,0.7017738359201774,0.7171466293918312,0.7596959479510037,0.1563940997708668,0.41235207100591714,0.33357988165680474
S8_01_hpo_best_all_features,3,train,8115,0.5988301242992932,0.44071748878923767,0.9338654503990877,0.6826511788829867,0.7704085826102456,0.14833053093359494,0.6869993838570548,0.3242144177449168
S8_01_hpo_best_all_features,3,val,2704,0.5786835950551287,0.4086833411986786,0.9908466819221968,0.6530736141851421,0.7080305014095318,0.16052890630956795,0.7836538461538461,0.32322485207100593
S8_02_ablation_no_branch_id,1,train,2707,0.6526508226691042,0.5437928408225438,0.816,0.7445174672489083,0.811036883407728,0.1319154457894109,0.4850387883265608,0.3232360546730698
S8_02_ablation_no_branch_id,1,val,2704,0.5325318246110325,0.38145896656534956,0.8817330210772834,0.6108665105386417,0.6662033050311075,0.19830933847191307,0.7300295857988166,0.3158284023668639
S8_02_ablation_no_branch_id,2,train,5411,0.5939849624060151,0.4399888610414926,0.913823019086177,0.6838262298038164,0.7741358260166549,0.14397622564122017,0.6636481241914618,0.31953428201811124
S8_02_ablation_no_branch_id,2,val,2704,0.6233396584440227,0.5447761194029851,0.7283813747228381,0.7118599437432171,0.7469726873191924,0.15535035278774006,0.4460059171597633,0.33357988165680474
S8_02_ablation_no_branch_id,3,train,8115,0.5945225399903054,0.436399217221135,0.9323451159255036,0.677332295380695,0.7736052021142819,0.14678499767894346,0.692667898952557,0.3242144177449168
S8_02_ablation_no_branch_id,3,val,2704,0.5781041388518025,0.40810556079170596,0.9908466819221968,0.6522539420539946,0.7036852072896946,0.15933846657076253,0.7847633136094675,0.32322485207100593
S8_03_ablation_no_reason_group,1,train,2707,0.6580286904211013,0.5528771384136858,0.8125714285714286,0.749353399875234,0.8096153953010634,0.13272687508815303,0.4750646472109346,0.3232360546730698
S8_03_ablation_no_reason_group,1,val,2704,0.5308597930788441,0.38173422267829654,0.8711943793911007,0.6099215140198746,0.6667273970373893,0.19831596983912095,0.720784023668639,0.3158284023668639
S8_03_ablation_no_reason_group,2,train,5411,0.5953681039352288,0.44137353433835846,0.9144013880855986,0.685473371935249,0.7759622086850644,0.1434834587003955,0.6619848456847163,0.31953428201811124
S8_03_ablation_no_reason_group,2,val,2704,0.6231678486997636,0.5432811211871393,0.7305986696230599,0.711581243801541,0.7579001609808849,0.15363693800174916,0.448594674556213,0.33357988165680474
S8_03_ablation_no_reason_group,3,train,8115,0.5970404793934205,0.44013703570140644,0.927784112504751,0.6807957761648482,0.7746261343869121,0.14702705456163898,0.6834257547751078,0.3242144177449168
