method,trial_id,status,f1_mean,f1_std,precision_mean,recall_mean,average_precision_mean,balanced_accuracy_mean,folds_completed,seconds,n_estimators,learning_rate,max_depth,min_samples_leaf,subsample,max_features,ccp_alpha,tol,n_iter_no_change,decision_threshold,notes
random_search,1,completed,0.46538912070455285,0.007178718631071916,0.437734216887921,0.5057962578970983,0.44499341364126566,0.5877015670364131,3,1.371,70,0.044639635579169674,4,39,0.8940788101707774,None,2.2302789475004457e-06,0.008938089586343595,10,0.5258682943218597,
random_search,2,completed,0.4888441962069013,0.027898344465118408,0.3359872739178362,0.9255535547552354,0.43938263500335234,0.5064135569344403,3,1.379,152,0.02062286927213014,4,40,0.7797793084814034,sqrt,0.00024078962258804645,0.0044210276038027995,12,0.37510224748402565,
random_search,3,completed,0.2269323339551749,0.11135910583355671,0.48834369764602314,0.1680945105314853,0.42033583382721,0.5276761320350152,3,0.57,114,0.05950983697688436,1,72,0.9396709101974037,sqrt,0.00021702395072672605,0.00328227889435858,10,0.6071071307337574,
random_search,4,completed,0.4924857978098256,0.017852834211627845,0.39764604764604766,0.6638837353123067,0.4543613016558834,0.5818931251252463,3,1.027,102,0.13801644083435544,3,64,0.7181235477481887,log2,1.4522079693431162e-06,0.00020350682753671472,8,0.48054153942668004,
random_search,5,completed,0.49795528806423944,0.013421049911758087,0.3668062611254545,0.7968672317411812,0.44723562634203295,0.5566538188141749,3,0.906,171,0.1660388121171867,3,37,0.7796608971122041,sqrt,5.455981150933099e-05,0.0002393000107750474,8,0.38931016753941083,
random_search,6,pruned,0.46206115515288787,0.0,,,,,1,0.227,75,0.026361345496805782,3,56,0.8030031716053158,sqrt,0.0003892777732954717,0.00042143760261292173,11,0.5461943126138884,fold_1_f1=0.4621 < p25_historico=0.4654
random_search,7,completed,0.475295097482005,0.013018124715023578,0.43079342294379647,0.5371072671492839,0.4462386886251643,0.5836615938703799,3,1.397,112,0.03928716211636837,4,73,0.8888734263912415,sqrt,3.288063868990481e-06,0.00025108247729595376,11,0.5262467261009409,
random_search,8,completed,0.4985833561154505,0.046056998675226966,0.3333333333333333,1.0,0.4395465553274738,0.5,3,0.626,60,0.07826828809323119,2,59,0.9232551608576888,log2,0.00012698622828119193,0.00019036802148316657,8,0.23039323235582831,
random_search,9,completed,0.4915476192890676,0.037566759880271174,0.3323879693682068,0.9635854341736695,0.4361209787752542,0.4982087571870854,3,0.735,113,0.048360351611874984,3,70,0.9177496000956089,log2,0.00022274298064002825,0.001279849200002847,4,0.3137380431475494,
random_search,10,completed,0.4985833561154505,0.046056998675226966,0.3333333333333333,1.0,0.4202116250493364,0.5,3,1.074,127,0.0161938192741584,2,39,0.7251046354868352,sqrt,0.0014345390329201324,0.0002936831108018941,7,0.20565320634318904,
random_search,11,pruned,0.44651162790697674,0.0,,,,,1,0.276,163,0.031112301329251014,2,39,0.8449612533194475,log2,0.0007936261363717481,0.0021312140994390627,7,0.5381689692530552,fold_1_f1=0.4465 < p25_historico=0.4753
random_search,12,completed,0.4962324480967311,0.023096134613409793,0.3478865513200591,0.8802793844810651,0.43462012378588727,0.5278519971355,3,1.554,109,0.022713564932168345,2,9,0.6815167512714746,None,5.11057799186543e-05,0.0002101568537723299,10,0.40045970104547995,
bayesian_gp_ucb,1,completed,0.4985833561154505,0.046056998675226966,0.3333333333333333,1.0,0.42805614477466775,0.5,3,0.737,173,0.08463444470098111,1,44,0.7833574291337688,log2,1.3040197639929757e-05,0.0018220705396336779,9,0.21856596449908444,
bayesian_gp_ucb,2,completed,0.3785623795110804,0.05197522023624673,0.4412151046164073,0.36035929523324484,0.42209967075953836,0.5455848924269016,3,0.445,103,0.020111340340191356,2,78,0.9680032417476625,log2,9.625981274215804e-06,0.008676663496154867,10,0.5226503977449497,
bayesian_gp_ucb,3,completed,0.4985833561154505,0.046056998675226966,0.3333333333333333,1.0,0.41711250522609106,0.5,3,0.51,91,0.045817750701589964,3,61,0.6837368367537248,sqrt,0.002181218591204317,0.0008157415422961872,10,0.3146209146262871,
bayesian_gp_ucb,4,completed,0.49633048819560965,0.014275131986762083,0.37789563498898743,0.7326506360119805,0.43762262752302444,0.5609755115927837,3,0.826,84,0.06326655039184854,3,20,0.9498149994323315,sqrt,0.0004584287996559061,0.0007314524173798805,10,0.456015889909075,
bayesian_gp_ucb,5,completed,0.4933412281669958,0.03966676544663923,0.3329083717433232,0.9707883153261304,0.4420622184882626,0.49917861881594744,3,0.83,76,0.07540385059792358,3,53,0.7955325907597134,sqrt,1.4253764557184652e-06,0.0009727060979234539,5,0.24359064310106063,
bayesian_gp_ucb,6,completed,0.4985833561154505,0.046056998675226966,0.3333333333333333,1.0,0.4348425068777038,0.5,3,0.918,89,0.0464778360161631,2,45,0.7593994821600044,sqrt,2.5870594846302837e-06,0.0005875011972503674,4,0.20663251836367588,
bayesian_gp_ucb,7,completed,0.48945876871388755,0.029415743632606697,0.33431742835951966,0.9368247298919568,0.4241288706775767,0.5031865175219885,3,0.546,132,0.15899350190122588,3,33,0.7120324254372454,sqrt,0.0013469658737131737,0.0001203670120495197,10,0.37783838290597943,
