rank,exp_id,model,n_features_input,f1_val_mean,delta_f1_vs_all_features,average_precision_val_mean,delta_ap_vs_all_features,gap_train_val_f1,notes
1,S8_00_rf_baseline_all_features,RandomForestClassifier,17,0.6095547256655321,0.02998054414557294,0.7470787295382016,0.03021624747477747,0.1315743371806759,Baseline de comparación para Sprint 8; no es la configuración ganadora de Sprint 7.
2,S8_01_hpo_best_all_features,GradientBoostingClassifier,17,0.5795741815199592,0.0,0.7168624820634242,0.0,0.039433959009209096,"Ablación controlada: mismo split, seed, métrica y modelo; cambia solo set de features."
3,S8_03_ablation_no_reason_group,GradientBoostingClassifier,16,0.577993569720146,-0.0015806117998131697,0.7126914628386783,-0.004171019224745831,0.0388188548631041,"Ablación controlada: mismo split, seed, métrica y modelo; cambia solo set de features."
4,S8_02_ablation_no_branch_id,GradientBoostingClassifier,16,0.5779918739689526,-0.0015823075510066342,0.7056203998799981,-0.011242082183426039,0.035727567719522346,"Ablación controlada: mismo split, seed, métrica y modelo; cambia solo set de features."
5,S8_05_operational_core_no_time,GradientBoostingClassifier,8,0.4942595184404175,-0.08531466307954172,0.4401491105282583,-0.2767133715351659,0.03927797146350975,"Ablación controlada: mismo split, seed, métrica y modelo; cambia solo set de features."
6,S8_04_temporal_only,GradientBoostingClassifier,8,0.4896211230245287,-0.0899530584954305,0.3363714805369578,-0.38049100152646637,-0.0021083959906665894,"Ablación controlada: mismo split, seed, métrica y modelo; cambia solo set de features."
