candidate,C,class_weight,fit_sec,threshold,f1,precision,recall,average_precision,balanced_accuracy,brier,tp,fp,fn,tn,weighted_cost_fp_plus_3fn,alert_rate
LogReg_C3.0_cw_balanced,3.0,balanced,0.10094183100000009,0.4049999999999998,0.5047984644913628,0.3583106267029973,0.8538961038961039,0.45565644197261795,0.6215005811309313,0.2255092206456825,263,471,45,300,606,0.680259499536608
LogReg_C1.0_cw_balanced,1.0,balanced,0.10137668800007305,0.4049999999999998,0.5043144774688398,0.3578231292517007,0.8538961038961039,0.4574369007832003,0.6208520727003217,0.22487589362161356,263,472,45,299,607,0.6811862835959221
LogReg_C3.0_cw_none,3.0,none,0.11169505299994853,0.24499999999999988,0.5014354066985646,0.35549525101763907,0.8506493506493507,0.45739772087036396,0.6172831707851163,0.18894454565423108,262,475,46,296,613,0.6830398517145505
LogReg_C1.0_cw_none,1.0,none,0.09137207499998112,0.24499999999999988,0.5009560229445507,0.35501355013550134,0.8506493506493507,0.4583482064959866,0.6166346623545067,0.1885896950334147,262,476,46,295,614,0.6839666357738647
LogReg_C0.1_cw_balanced,0.1,balanced,0.09340179099990564,0.3949999999999998,0.5009523809523809,0.35444743935309975,0.8538961038961039,0.46788678628292285,0.6163125136860546,0.22076797687297703,263,479,45,292,614,0.6876737720111215
LogReg_C0.1_cw_none,0.1,none,0.08360424400007105,0.23499999999999993,0.49765258215962443,0.35006605019815057,0.8603896103896104,0.468122362729917,0.611128657334883,0.18671061509034598,265,492,43,279,621,0.7015755329008341
