fold,experimento,modelo,threshold,accuracy,precision_over_ola,recall_over_ola,f1_over_ola,average_precision,brier_score,train_time_sec,latency_ms_per_1000,n_train,n_valid,features,notes
3,A0_sin_branch,RandomForestClassifier,0.3376,0.4243,0.3516,0.9278,0.5099,0.4434,0.2327,0.9258,0.3702,8105,2701,"domain,area,priority,type_of_incident,trouble_type,incident_type,network_id,reason_group,year,quarter,month,week_of_year,day_of_week,hour,is_weekend,is_night,sla_threshold_hours",Sin branch ni variables históricas
3,A1_branch_id,RandomForestClassifier,0.4113,0.5487,0.3993,0.789,0.5303,0.4655,0.2293,2.299,0.3702,8105,2701,"domain,area,priority,type_of_incident,trouble_type,incident_type,network_id,reason_group,branch_id,year,quarter,month,week_of_year,day_of_week,hour,is_weekend,is_night,sla_threshold_hours",Agrega branch_id
3,A2_branch_features,RandomForestClassifier,0.4028,0.5687,0.4136,0.8039,0.5462,0.4715,0.2246,2.9513,0.3702,8105,2701,"domain,area,priority,type_of_incident,trouble_type,incident_type,network_id,reason_group,branch_id,year,quarter,month,week_of_year,day_of_week,hour,is_weekend,is_night,sla_threshold_hours,branch_over_ola_rate_train,branch_incident_count_train,reason_over_ola_rate_train",Agrega features calculadas solo con training
