threshold,f1,precision,recall,average_precision,balanced_accuracy,brier,tp,fp,fn,tn,weighted_cost_fp_plus_3fn,alert_rate
0.05,0.4441240086517664,0.28544949026876737,1.0,0.4583482064959866,0.5,0.1885896950334147,308,771,0,0,771,1.0
0.055,0.4441240086517664,0.28544949026876737,1.0,0.4583482064959866,0.5,0.1885896950334147,308,771,0,0,771,1.0
0.06,0.4441240086517664,0.28544949026876737,1.0,0.4583482064959866,0.5,0.1885896950334147,308,771,0,0,771,1.0
0.065,0.4441240086517664,0.28544949026876737,1.0,0.4583482064959866,0.5,0.1885896950334147,308,771,0,0,771,1.0
0.06999999999999999,0.4441240086517664,0.28544949026876737,1.0,0.4583482064959866,0.5,0.1885896950334147,308,771,0,0,771,1.0
0.07499999999999998,0.4447653429602888,0.28597957288765086,1.0,0.4583482064959866,0.5012970168612192,0.1885896950334147,308,769,0,2,769,0.9981464318813716
0.07999999999999999,0.4447653429602888,0.28597957288765086,1.0,0.4583482064959866,0.5012970168612192,0.1885896950334147,308,769,0,2,769,0.9981464318813716
0.08499999999999999,0.4447653429602888,0.28597957288765086,1.0,0.4583482064959866,0.5012970168612192,0.1885896950334147,308,769,0,2,769,0.9981464318813716
0.08999999999999998,0.44573082489146165,0.28677839851024206,1.0,0.4583482064959866,0.503242542153048,0.1885896950334147,308,766,0,5,766,0.995366079703429
0.09499999999999997,0.44573082489146165,0.28677839851024206,1.0,0.4583482064959866,0.503242542153048,0.1885896950334147,308,766,0,5,766,0.995366079703429
0.09999999999999998,0.4444444444444444,0.2862488306828812,0.9935064935064936,0.4583482064959866,0.5019413141981236,0.1885896950334147,306,763,2,8,769,0.9907321594068582
0.10499999999999998,0.44541484716157204,0.2870544090056285,0.9935064935064936,0.4583482064959866,0.5038868394899524,0.1885896950334147,306,760,2,11,766,0.9879518072289156
0.10999999999999997,0.44541484716157204,0.2870544090056285,0.9935064935064936,0.4583482064959866,0.5038868394899524,0.1885896950334147,306,760,2,11,766,0.9879518072289156
0.11499999999999998,0.4467153284671533,0.288135593220339,0.9935064935064936,0.4583482064959866,0.5064808732123908,0.1885896950334147,306,756,2,15,762,0.9842446709916589
0.11999999999999997,0.44835164835164837,0.28949858088930935,0.9935064935064936,0.4583482064959866,0.5097234153654387,0.1885896950334147,306,751,2,20,757,0.9796107506950881
0.12499999999999996,0.45132743362831856,0.2919847328244275,0.9935064935064936,0.4583482064959866,0.5155599912409251,0.1885896950334147,306,742,2,29,748,0.9712696941612604
0.12999999999999995,0.45535714285714285,0.2953667953667954,0.9935064935064936,0.4583482064959866,0.5233420924082403,0.1885896950334147,306,730,2,41,736,0.9601482854494903
0.13499999999999995,0.45795795795795796,0.2978515625,0.9902597402597403,0.4583482064959866,0.5288523085215693,0.1885896950334147,305,719,3,52,728,0.9490268767377201
0.13999999999999996,0.4599092284417549,0.29980276134122286,0.987012987012987,0.4583482064959866,0.533065507773679,0.1885896950334147,304,710,4,61,722,0.9397590361445783
