mode,batch_size,iterations,p50_batch_ms,p95_batch_ms,p99_batch_ms,mean_per_record_ms,throughput_req_s,observed_internal_errors,internal_error_ratio
actual_cold_load_each_call,1,80,10.274559499999999,12.3148202,12.586288979999996,10.389994949999998,96.24643754037629,0,0.0
actual_warm,1,400,7.9172145,9.91850635,10.653390149999998,8.078563095,123.78438940693822,0,0.0
actual_warm,8,220,7.135585,7.759491449999999,8.2964151,0.896734363068182,1115.1574437032768,0,0.0
actual_warm,16,160,6.852347,7.3496311,8.260808669999996,0.43431719374999994,2302.464683393622,0,0.0
actual_warm,32,120,6.9425495,7.583044549999999,8.03244748,0.21988679687499998,4547.79465712293,0,0.0
actual_warm,64,80,7.2774090000000005,7.90375695,7.9768281,0.11444559101562501,8737.776537529278,0,0.0
baseline_bau_warm,1,400,2.3109770000000003,2.8602672499999997,3.1552595099999996,2.3760286324999997,420.8703490865866,0,0.0
baseline_bau_warm,8,220,2.2552250000000003,2.779521349999999,3.2537318300000004,0.33710438579545454,2966.4401951945288,0,0.0
baseline_bau_warm,16,160,2.2513645,2.6109823,3.0869605499999984,0.14488894453125,6901.837840252315,0,0.0
baseline_bau_warm,32,120,2.2744334999999998,2.55408145,3.0148956200000003,0.07266888671874999,13761.047473732391,0,0.0
baseline_bau_warm,64,80,2.3302810000000003,2.6234204,2.80280313,0.036946609375,27066.083110637268,0,0.0
