alarm_record_id,snapshot_time,severity,alarm_source_type,branch_candidate,alarm_name,first_occurred_at,last_occurred_at,alarm_age_hours,occurrence_times,down_reason,port_oper_status,clearance_status,acknowledgment_status,maintenance_status,reason_group_candidate,candidate_risk_score
alarm_00027,2026-05-04 17:57:19,CRITICAL,CA,NOR,PHYSICAL PORT DOWN,2017-12-15 00:24:08,2017-12-15 00:24:08,73505.55305555556,1.0,unknown,unknown,unknown,unknown,NORMAL,link_down,0.76
alarm_00028,2026-05-04 17:57:19,CRITICAL,CA,NOR,PHYSICAL PORT DOWN,2017-12-15 00:24:08,2017-12-15 00:24:08,73505.55305555556,1.0,unknown,unknown,unknown,unknown,NORMAL,link_down,0.76
alarm_00029,2026-05-04 17:57:19,CRITICAL,CA,NOR,PHYSICAL PORT DOWN,2017-12-15 00:24:09,2017-12-15 00:24:09,73505.55277777778,1.0,unknown,unknown,unknown,unknown,NORMAL,link_down,0.76
alarm_00030,2026-05-04 17:57:19,CRITICAL,CA,NOR,PHYSICAL PORT DOWN,2017-12-15 00:24:09,2017-12-15 00:24:09,73505.55277777778,1.0,unknown,unknown,unknown,unknown,NORMAL,link_down,0.76
alarm_00031,2026-05-04 17:57:19,CRITICAL,CA,NOR,PHYSICAL PORT DOWN,2017-12-15 00:24:09,2017-12-15 00:24:09,73505.55277777778,1.0,unknown,unknown,unknown,unknown,NORMAL,link_down,0.76
alarm_00032,2026-05-04 17:57:19,CRITICAL,CA,NOR,PHYSICAL PORT DOWN,2017-12-15 00:24:09,2017-12-15 00:24:09,73505.55277777778,1.0,unknown,unknown,unknown,unknown,NORMAL,link_down,0.76
alarm_00033,2026-05-04 17:57:19,CRITICAL,CA,NOR,PHYSICAL PORT DOWN,2017-12-15 00:24:09,2017-12-15 00:24:09,73505.55277777778,1.0,unknown,unknown,unknown,unknown,NORMAL,link_down,0.76
alarm_00034,2026-05-04 17:57:19,CRITICAL,CA,NOR,PHYSICAL PORT DOWN,2017-12-15 00:24:09,2017-12-15 00:24:09,73505.55277777778,1.0,unknown,unknown,unknown,unknown,NORMAL,link_down,0.76
alarm_00035,2026-05-04 17:57:19,CRITICAL,CA,NOR,PHYSICAL PORT DOWN,2017-12-15 00:24:09,2017-12-15 00:24:09,73505.55277777778,1.0,unknown,unknown,unknown,unknown,NORMAL,link_down,0.76
alarm_00036,2026-05-04 17:57:19,CRITICAL,CA,NOR,PHYSICAL PORT DOWN,2017-12-15 00:24:09,2017-12-15 00:24:09,73505.55277777778,1.0,unknown,unknown,unknown,unknown,NORMAL,link_down,0.76
alarm_00037,2026-05-04 17:57:19,CRITICAL,CA,NOR,PHYSICAL PORT DOWN,2017-12-15 00:24:09,2017-12-15 00:24:09,73505.55277777778,1.0,unknown,unknown,unknown,unknown,NORMAL,link_down,0.76
alarm_00038,2026-05-04 17:57:19,CRITICAL,CA,NOR,PHYSICAL PORT DOWN,2017-12-15 00:24:09,2017-12-15 00:24:09,73505.55277777778,1.0,unknown,unknown,unknown,unknown,NORMAL,link_down,0.76
alarm_00039,2026-05-04 17:57:19,CRITICAL,CA,NOR,PHYSICAL PORT DOWN,2017-12-15 00:24:09,2017-12-15 00:24:09,73505.55277777778,1.0,unknown,unknown,unknown,unknown,NORMAL,link_down,0.76
alarm_00040,2026-05-04 17:57:19,CRITICAL,CA,NOR,PHYSICAL PORT DOWN,2017-12-15 00:24:09,2017-12-15 00:24:09,73505.55277777778,1.0,unknown,unknown,unknown,unknown,NORMAL,link_down,0.76
alarm_00041,2026-05-04 17:57:19,CRITICAL,CA,NOR,PHYSICAL PORT DOWN,2017-12-15 00:24:09,2017-12-15 00:24:09,73505.55277777778,1.0,unknown,unknown,unknown,unknown,NORMAL,link_down,0.76
alarm_00042,2026-05-04 17:57:19,CRITICAL,CA,NOR,PHYSICAL PORT DOWN,2017-12-15 00:24:09,2017-12-15 00:24:09,73505.55277777778,1.0,unknown,unknown,unknown,unknown,NORMAL,link_down,0.76
alarm_00043,2026-05-04 17:57:19,CRITICAL,CA,NOR,PHYSICAL PORT DOWN,2017-12-15 00:24:09,2017-12-15 00:24:09,73505.55277777778,1.0,unknown,unknown,unknown,unknown,NORMAL,link_down,0.76
alarm_00044,2026-05-04 17:57:19,CRITICAL,CA,NOR,PHYSICAL PORT DOWN,2017-12-15 00:24:09,2017-12-15 00:24:09,73505.55277777778,1.0,unknown,unknown,unknown,unknown,NORMAL,link_down,0.76
alarm_00045,2026-05-04 17:57:19,CRITICAL,CA,NOR,PHYSICAL PORT DOWN,2017-12-15 00:24:09,2017-12-15 00:24:09,73505.55277777778,1.0,unknown,unknown,unknown,unknown,NORMAL,link_down,0.76
alarm_00046,2026-05-04 17:57:19,CRITICAL,CA,NOR,PHYSICAL PORT DOWN,2017-12-15 00:24:09,2017-12-15 00:24:09,73505.55277777778,1.0,unknown,unknown,unknown,unknown,NORMAL,link_down,0.76
alarm_00047,2026-05-04 17:57:19,CRITICAL,CA,NOR,PHYSICAL PORT DOWN,2017-12-15 00:24:09,2017-12-15 00:24:09,73505.55277777778,1.0,unknown,unknown,unknown,unknown,NORMAL,link_down,0.76
alarm_00048,2026-05-04 17:57:19,CRITICAL,CA,NOR,PHYSICAL PORT DOWN,2017-12-15 00:24:09,2017-12-15 00:24:09,73505.55277777778,1.0,unknown,unknown,unknown,unknown,NORMAL,link_down,0.76
alarm_00049,2026-05-04 17:57:19,CRITICAL,CA,NOR,PHYSICAL PORT DOWN,2017-12-15 00:24:09,2017-12-15 00:24:09,73505.55277777778,1.0,unknown,unknown,unknown,unknown,NORMAL,link_down,0.76
alarm_00050,2026-05-04 17:57:19,CRITICAL,CA,NOR,PHYSICAL PORT DOWN,2017-12-15 00:24:09,2017-12-15 00:24:09,73505.55277777778,1.0,unknown,unknown,unknown,unknown,NORMAL,link_down,0.76
alarm_00051,2026-05-04 17:57:19,CRITICAL,CA,NOR,PHYSICAL PORT DOWN,2017-12-15 00:24:09,2017-12-15 00:24:09,73505.55277777778,1.0,unknown,unknown,unknown,unknown,NORMAL,link_down,0.76
alarm_00052,2026-05-04 17:57:19,CRITICAL,CA,NOR,PHYSICAL PORT DOWN,2017-12-15 00:24:09,2017-12-15 00:24:09,73505.55277777778,1.0,unknown,unknown,unknown,unknown,NORMAL,link_down,0.76
alarm_00053,2026-05-04 17:57:19,CRITICAL,CA,NOR,PHYSICAL PORT DOWN,2017-12-15 00:24:09,2017-12-15 00:24:09,73505.55277777778,1.0,unknown,unknown,unknown,unknown,NORMAL,link_down,0.76
alarm_00054,2026-05-04 17:57:19,CRITICAL,CA,NOR,PHYSICAL PORT DOWN,2017-12-15 00:24:09,2017-12-15 00:24:09,73505.55277777778,1.0,unknown,unknown,unknown,unknown,NORMAL,link_down,0.76
alarm_00055,2026-05-04 17:57:19,CRITICAL,CA,NOR,PHYSICAL PORT DOWN,2017-12-15 00:24:09,2017-12-15 00:24:09,73505.55277777778,1.0,unknown,unknown,unknown,unknown,NORMAL,link_down,0.76
alarm_00056,2026-05-04 17:57:19,CRITICAL,CA,NOR,PHYSICAL PORT DOWN,2017-12-15 00:24:09,2017-12-15 00:24:09,73505.55277777778,1.0,unknown,unknown,unknown,unknown,NORMAL,link_down,0.76
alarm_00057,2026-05-04 17:57:19,CRITICAL,CA,NOR,PHYSICAL PORT DOWN,2017-12-15 00:24:10,2017-12-15 00:24:10,73505.5525,1.0,unknown,unknown,unknown,unknown,NORMAL,link_down,0.76
alarm_00058,2026-05-04 17:57:19,CRITICAL,CA,NOR,PHYSICAL PORT DOWN,2017-12-15 00:45:23,2017-12-15 00:45:23,73505.19888888889,1.0,unknown,unknown,unknown,unknown,NORMAL,link_down,0.76
alarm_00059,2026-05-04 17:57:19,CRITICAL,CA,NOR,PHYSICAL PORT DOWN,2017-12-15 00:45:24,2017-12-15 00:45:24,73505.19861111112,1.0,unknown,unknown,unknown,unknown,NORMAL,link_down,0.76
