alarm_record_id,data_source,snapshot_time,severity,alarm_source_id,alarm_source_type,alarm_name,first_occurred_at,last_occurred_at,alarm_age_hours,occurrence_times,down_reason,port_oper_status,port_admin_status,clearance_status,acknowledgment_status,maintenance_status,candidate_risk_score,reason_group_candidate
alarm_00024,current_alarm_snapshot,2026-05-04 17:57:19,CRITICAL,asset_21a7eae782,CA,Physical Port Down,2017-12-15 00:24:08,2017-12-15 00:24:08,73505.55,1,LOS,DOWN,UP,-,-,NORMAL,0.88,equipment_module
alarm_00025,current_alarm_snapshot,2026-05-04 17:57:19,CRITICAL,asset_21a7eae782,CA,Physical Port Down,2017-12-15 00:24:08,2017-12-15 00:24:08,73505.55,1,LOS,DOWN,UP,-,-,NORMAL,0.88,equipment_module
alarm_00026,current_alarm_snapshot,2026-05-04 17:57:19,CRITICAL,asset_21a7eae782,CA,Physical Port Down,2017-12-15 00:24:08,2017-12-15 00:24:08,73505.55,1,LOS,DOWN,UP,-,-,NORMAL,0.88,equipment_module
alarm_00027,current_alarm_snapshot,2026-05-04 17:57:19,CRITICAL,asset_21a7eae782,CA,Physical Port Down,2017-12-15 00:24:08,2017-12-15 00:24:08,73505.55,1,LOS,DOWN,UP,-,-,NORMAL,0.88,equipment_module
alarm_00028,current_alarm_snapshot,2026-05-04 17:57:19,CRITICAL,asset_21a7eae782,CA,Physical Port Down,2017-12-15 00:24:08,2017-12-15 00:24:08,73505.55,1,LOS,DOWN,UP,-,-,NORMAL,0.88,equipment_module
alarm_00029,current_alarm_snapshot,2026-05-04 17:57:19,CRITICAL,asset_4226e99132,CA,Physical Port Down,2017-12-15 00:24:09,2017-12-15 00:24:09,73505.55,1,LOS,DOWN,UP,-,-,NORMAL,0.88,equipment_module
alarm_00030,current_alarm_snapshot,2026-05-04 17:57:19,CRITICAL,asset_4226e99132,CA,Physical Port Down,2017-12-15 00:24:09,2017-12-15 00:24:09,73505.55,1,LOS,DOWN,UP,-,-,NORMAL,0.88,equipment_module
alarm_00031,current_alarm_snapshot,2026-05-04 17:57:19,CRITICAL,asset_4226e99132,CA,Physical Port Down,2017-12-15 00:24:09,2017-12-15 00:24:09,73505.55,1,LOS,DOWN,UP,-,-,NORMAL,0.88,equipment_module
alarm_00032,current_alarm_snapshot,2026-05-04 17:57:19,CRITICAL,asset_4226e99132,CA,Physical Port Down,2017-12-15 00:24:09,2017-12-15 00:24:09,73505.55,1,LOS,DOWN,UP,-,-,NORMAL,0.88,equipment_module
alarm_00033,current_alarm_snapshot,2026-05-04 17:57:19,CRITICAL,asset_4226e99132,CA,Physical Port Down,2017-12-15 00:24:09,2017-12-15 00:24:09,73505.55,1,LOS,DOWN,UP,-,-,NORMAL,0.88,equipment_module
alarm_00034,current_alarm_snapshot,2026-05-04 17:57:19,CRITICAL,asset_4226e99132,CA,Physical Port Down,2017-12-15 00:24:09,2017-12-15 00:24:09,73505.55,1,LOS,DOWN,UP,-,-,NORMAL,0.88,equipment_module
alarm_00035,current_alarm_snapshot,2026-05-04 17:57:19,CRITICAL,asset_4226e99132,CA,Physical Port Down,2017-12-15 00:24:09,2017-12-15 00:24:09,73505.55,1,LOS,DOWN,UP,-,-,NORMAL,0.88,equipment_module
